m_code,m_name,m_unit
09001005,Calcium hydroxide paste ยี่ห้อ Dycal,ชุด
09001014,Composite resin LC สี B1,หลอด
09001015,Composite resin LC สี B2,หลอด
09001016,Composite resin LC สี B3,หลอด
09001017,Composite resin LC สี P,หลอด
09001026,Glass Ionomer LC for filling- ทั้งชุด ยี่ห้อ Fuji,ชุด
09001029,Glass Ionomer LC for lilling- ส่วนน้ำ ยี่ห้อ Vitrebond,ขวด
09001041,Matrix band stip.03x5 mm.,ม้วน
09001046,Matrix holder : Tofflemire,อัน
09001048,Mercury (ปรอท),ขวด
09001050,Pit & fissure sealant LC สีธรรมชาติ (Natural),ชุด
09001059,Composite resin LC สี CY,หลอด
09001060,Clamp # 9,ตัว
09001062,Composite resin light cure refill สี I,หลอด
09001063,Clearfill Porcelain Bond Activator,กล่อง
09001065,Cavity varnish,ขวด
09001067,Composite resin light cure สี OA3,หลอด
09001078,Dentin Conditioner,ขวด
09001082,Composit resin LC สี P90,ชุด
09001085,Calcium hydroxide (สำเร็จรูป),กล่อง
09002017,file:  H-file   21  mm.  No. 45,กล่อง
09002018,file:  H-file   21  mm.  No. 50,กล่อง
09002019,file:  H-file   21  mm.  No. 55,กล่อง
09002020,file:  H-file   21  mm.  No. 60,กล่อง
09002021,file:  H-file   21  mm.  No. 70,กล่อง
09002022,file:  H-file   21  mm.  No. 80,กล่อง
09002026,file:  H-file   25  mm.  No. 08,กล่อง
09002027,file:  H-file   25  mm.  No. 10,กล่อง
09002028,file:  H-file   25  mm.  No. 15,กล่อง
09002029,file:  H-file   25  mm.  No. 20,กล่อง
09002030,file:  H-file   25  mm.  No. 25,กล่อง
09002031,file:  H-file   25  mm.  No. 30,กล่อง
09002032,file:  H-file   25  mm.  No. 35,กล่อง
09002033,file:  H-file   25  mm.  No. 40,กล่อง
09002034,file:  H-file   25  mm.  No. 45,กล่อง
09002035,file:  H-file   25  mm.  No. 50,กล่อง
09002036,file:  H-file   25  mm.  No. 55,กล่อง
09002037,file:  H-file   25  mm.  No. 60,กล่อง
09002038,file:  H-file   25  mm.  No. 70,กล่อง
09002039,file:  H-file   25  mm.  No. 80,กล่อง
09002043,K-Flex file 21 mm. No.08,กล่อง
09002044,K-Flex file 21 mm. No10,กล่อง
09002045,K-Flex file 21 mm. No.15,กล่อง
09002046,K-Flex file 21 mm. No.20,กล่อง
09002047,K-Flex file 21 mm. No.25,กล่อง
09002048,K-Flex file 21 mm. No.30,กล่อง
09002049,K-Flex file 21 mm. No.35,กล่อง
09002050,K-Flex file 21 mm. No.40,กล่อง
09002051,K-Flex file 21 mm. No.45,กล่อง
09002052,K-file 21 mm. No.50,กล่อง
09002053,K-file 21 mm. No.55,กล่อง
09002060,K- file 25 mm. No.08,กล่อง
09002061,K- file 25 mm. No.10,กล่อง
09002063,K- file 25 mm. No.20,กล่อง
09002064,K- file 25 mm. No.25,กล่อง
09002065,K- file 25 mm. No.30,กล่อง
09002066,K- file 25 mm. No.35,กล่อง
09002067,K- file 25 mm. No.40,กล่อง
09002068,K- file 25 mm. No.45,กล่อง
09002069,K- file 25 mm. No.50,กล่อง
09002070,K- file 25 mm. No.55,กล่อง
09002072,K- file 25 mm. No.70,กล่อง
09002073,K- file 25 mm. No.80,กล่อง
09002078,File : Niti 21 mm No.15,กล่อง
09002080,File : Niti 21 mm No.25,กล่อง
09002086,File : Profile 21 mm. No.35,กล่อง
09002090,Gutta percha cone # 15,กล่อง
09002098,Gutta percha cone # 55,กล่อง
09002099,Gutta percha cone # 60,กล่อง
09002100,Gutta percha cone # 70,กล่อง
09002101,Gutta percha cone # 80,กล่อง
09002102,Gutta percha cone # 90,กล่อง
09002103,Gutta percha cone # F,กล่อง
09002108,Gutta percha cone # XF,กล่อง
09002130,Root canal cement,ขวด
09002133,Rubber Stop,ถุง
09002134,วัสดุอุดปลายรากฟัน ยี่ห้อ MTA,ชุด
09002135,Clamp # 0,ตัว
09002137,Clamp # 1,ตัว
09002139,Clamp # 6,ตัว
09002141,Clamp # 12A,ตัว
09002142,Clamp # 13,ตัว
09002144,Lentulo sspiiral 25 mm.no30(ฟ้า),ตัว
09002145,Clamp # 2A,ตัว
09002146,Clamp # 14A,ตัว
09002147,K-file 21 mm. Assortment No.15-40,กล่อง
09002148,Rubber tip,ตัว
09002154,Endo Explorer,ตัว
